TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,TS_2,TS_3,TS_4,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160915,-9999,-9999,-9999,-9999,-9999,63.28989583333333,11.774541666666671,123.69078541666671,1.3787984947731102,91.61875000000002,11.585770833333333,0.0,11.53729166666667,12.091874999999995,12.129583333333327,11.996250000000005,0.11427916666666668,-9999,1.5870565041666664,0.5380853416666668,0.3663346383333333,-9999,-9999,-9999,-9999,-9999,-9999,64.49702083333334,312.1974166666667,11.774541666666671,123.6910625,1.38025,91.61875000000002,100.0166666666667,11.585770833333333,0.0,0.11427916666666668,2.538958333333333,17.492530848316168,0.1609456610016495,32.637915503175485,3.0
20160916,-9999,-9999,-9999,-9999,-9999,126.98209791666672,34.82385416666666,236.29945416666652,1.7122985801962614,87.41541666666667,9.049125,0.2,11.330625,11.913750000000006,11.98958333333333,11.914791666666664,0.11510833333333333,-9999,1.4208874458333334,0.7654824166666665,0.3067820002083334,-9999,-9999,-9999,-9999,-9999,-9999,127.98077083333334,303.2495000000002,34.82385416666666,236.29873749999996,1.7140624999999996,87.41541666666667,100.352375,9.049125,0.2,0.11510833333333333,2.3524583333333333,30.70421532560792,-0.08256915635153624,29.37896753659005,3.0
20160917,-9999,-9999,-9999,-9999,-9999,108.69903541666667,29.407416666666673,204.42219583333332,2.5666686948019257,81.37020833333331,9.14477083333333,0.0,11.200416666666666,11.722916666666668,11.855416666666665,11.823749999999995,0.11634791666666665,-9999,1.4278836583333332,0.6889467916666665,0.3098564733333333,-9999,-9999,-9999,-9999,-9999,-9999,109.389,321.62895833333334,29.407416666666673,204.42211874999995,2.569291666666667,81.37020833333331,100.6348125,9.14477083333333,0.0,0.11634791666666665,1.1458124999999997,37.26455642708481,0.040263862750353666,31.603228395567175,3.0
20160918,-9999,-9999,-9999,-9999,-9999,144.1931729166666,36.859187499999976,268.4123770833333,1.674737575542829,88.13291666666666,6.202249999999999,0.2,10.777499999999998,11.576875000000005,11.726249999999993,11.731041666666671,0.11760833333333336,-9999,1.2482995999999995,0.8083976770833332,0.25625425,-9999,-9999,-9999,-9999,-9999,-9999,145.14939583333333,305.90964583333323,36.859187499999976,268.41228541666663,1.6764791666666663,88.13291666666666,100.5674375,6.202249999999999,0.2,0.11760833333333336,1.1288541666666665,35.801670921207354,-0.036522903278146,31.897824037997648,3.0
20160919,-9999,-9999,-9999,-9999,-9999,101.68502708333334,23.259645833333334,192.34370416666656,1.0150895815685086,93.41458333333334,8.728208333333333,0.0,10.419791666666667,11.312291666666667,11.58708333333333,11.63916666666667,0.11808541666666665,-9999,1.4022264604166663,0.6897168000000001,0.3023795408333333,-9999,-9999,-9999,-9999,-9999,-9999,102.27712499999996,303.88854166666664,23.259645833333334,192.34356874999997,1.0161666666666669,93.41458333333334,100.12189583333333,8.728208333333333,0.0,0.11808541666666665,1.2714999999999996,21.799988975960847,-0.0022144316996188565,32.21070834893067,3.0
20160920,-9999,-9999,-9999,-9999,-9999,112.2774520833333,42.21202702702703,210.32085625,1.5556550853031084,89.23162162162161,7.6555135135135135,0.0,10.335405405405409,11.139189189189189,11.441351351351356,11.54594594594594,0.11888378378378373,-9999,1.3168922562500005,0.72104925,0.2755962108333333,-9999,-9999,-9999,-9999,-9999,-9999,112.9873333333333,286.1806458333332,23.042291666666657,210.32143125000005,1.2663749999999998,91.40589583333332,100.42529166666668,7.356000000000001,0.0,0.11835208333333327,1.2477916666666669,25.853507208196955,0.01271101867134399,29.70249221814018,3.0
20160921,-9999,-9999,-9999,-9999,-9999,132.75592291666663,170.905625,244.47230833333322,3.1227716493328463,78.953125,11.387,0.0,9.856875,10.946875,11.277499999999998,11.42375,0.11990624999999998,-9999,1.3932734958333337,0.751707625,0.2978816164583334,-9999,-9999,-9999,-9999,-9999,-9999,133.46879166666665,286.05522916666666,39.109979166666655,244.4722270833332,1.4304374999999998,90.5616875,100.66845833333336,8.61427083333333,0.0,0.11792354166666665,1.3790208333333331,29.139739164263148,-0.045743218790957066,28.31615672697553,3.0
20160922,-9999,-9999,-9999,-9999,-9999,54.45185208333336,85.7818181818182,103.74418541666664,2.382258171025468,80.0490909090909,9.482454545454548,0.0,9.895454545454543,10.730000000000002,11.120909090909093,11.311818181818182,0.1208,-9999,1.3426778520833336,0.5160740208333333,0.27983824125,-9999,-9999,-9999,-9999,-9999,-9999,55.1666875,315.3013333333336,4.8563479166666665,103.74405416666666,1.1256458333333332,91.61681250000002,100.6275,7.842166666666667,0.048,0.11804062499999995,1.8070208333333333,15.196508356337793,0.1678394512614982,24.50798756686088,3.0
20160923,-9999,-9999,-9999,-9999,-9999,48.26219166666666,-9999,89.89866874999996,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,1.3269747770833331,0.4412200666666666,0.27528751229166665,-9999,-9999,-9999,-9999,-9999,-9999,48.45593750000001,321.11797916666666,-4.920979166666668,89.89816458333333,0.9950833333333334,92.99360416666666,99.96166666666666,7.585395833333332,0.0,0.11670250000000001,2.261083333333334,13.736488831452112,0.2322514190442804,25.01137931872901,3.0
20160924,-9999,-9999,-9999,-9999,-9999,29.61355833333333,-9999,58.42716458333334,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,1.3018740083333329,0.3213572979166666,0.2665948902083333,-9999,-9999,-9999,-9999,-9999,-9999,30.2598125,317.3544583333333,-20.629,58.42711875,0.6920624999999999,95.3705625,99.84125,7.199166666666668,0.11200000000000003,0.1083360416666667,2.449958333333333,8.649787285923505,0.3476280394336433,24.539758329174962,3.0
20160925,-9999,-9999,-9999,-9999,-9999,32.79865208333332,-9999,66.50054791666666,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,1.3616198333333334,0.3674757270833333,0.28595934875,-9999,-9999,-9999,-9999,-9999,-9999,33.663833333333336,344.0465833333333,-19.597328125,66.50062083333333,0.8762500000000001,92.50654166666664,100.37735416666668,8.141270833333332,0.408,0.10038241666666667,2.5796666666666663,9.782954173795273,0.28913456601380777,22.057526746380926,3.0
20160926,-9999,-9999,-9999,-9999,-9999,80.73215208333333,-1.3326,153.88250624999995,1.0735662386901577,93.795,12.687299999999995,0.0,10.2255,10.260000000000002,10.545499999999997,10.825,0.12174499999999995,-9999,1.5178260291666659,0.5711587370833334,0.34079634333333325,-9999,-9999,-9999,-9999,-9999,-9999,81.49337499999999,340.07714583333336,8.592583333333327,153.8824666666667,1.3008958333333334,90.56318749999998,100.6932291666666,10.539916666666667,0.23400000000000004,0.10842343750000008,1.4916041666666662,19.13936063731436,0.07975228203466926,25.02742719608388,3.0
