TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,WTD,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20180422,-1.447638029411765,48.08873864864865,152.38034705882356,-3.118403714285713,0.18533922916666667,-9999,188.0459125,-9999,5.02966725,75.28979166666666,101.35316195833332,16.259583333333328,0.0,-9999,-9999,-9999,15.399822916666665,15.544395833333327,15.452833958333335,16.12514375,17.904897916666666,0.06304737500000003,2.1945492379166667,1.5835069583333332,263.34665970833333,2.785113729166667,-1.0721958958333335,40.11376312500001,122.5815791666667,-2.8715527083333336,340.4333958333333,307.0452499999998,188.0459125,-9999,5.0344375,75.28979166666666,101.3531458333333,16.259583333333328,0.0,0.06304737500000003,2.7851250000000003,119.94408674325199,-1.0376141452524308,-2.3723873933521173,1.0
20180423,-2.607124,59.05032564102565,166.6199358064516,-7.486172333333332,0.21720352083333336,-9999,198.94583333333333,-9999,4.7854365625,76.09604166666666,101.38885266666664,16.233958333333334,0.0,-9999,-9999,-9999,15.548983333333334,15.593427083333333,15.54566,15.936968750000005,17.800941666666667,0.07191058333333332,2.098170650833334,1.3491955416666668,274.04429279166663,3.2781657083333333,-1.6393073270833334,49.37601874999999,120.9673960416667,-5.339509791666668,339.4082291666667,303.2648749999999,198.94583333333333,-9999,4.790041666666668,76.09604166666666,101.38877083333335,16.233958333333334,0.0,0.07191058333333332,3.2782291666666667,120.29633954733673,-1.5598559215535233,-5.114004774369387,1.0
20180424,-2.2585809069767446,54.481063723404226,107.07126976744185,-5.795802181818183,0.23719175,-9999,190.19149,-9999,2.9912688125000013,81.64999999999998,101.52269585416666,13.879583333333334,0.0,-9999,-9999,-9999,12.780716666666667,12.6533,12.555138958333336,12.236252083333332,13.553635416666665,0.08235258333333333,2.065500646458333,0.9619976458333332,286.3234095208333,3.6283688333333335,-2.009199145833333,53.48230406249999,99.57009583333333,-4.568647333333334,335.61704166666675,300.759625,190.19149,-9999,2.9944583333333328,81.64999999999998,101.52270833333333,13.879583333333334,0.0,0.08235258333333333,3.6284166666666655,99.28358447022006,-1.9905911458563024,-4.255372330744531,1.0
20180425,-2.6032314000000008,51.7946744680851,109.06471428571426,-5.6549155555555535,0.2489388723404255,-9999,204.42872916666667,-9999,3.182546875000001,79.78916666666666,101.66045962500004,13.384583333333335,0.0,-9999,-9999,-9999,12.692360416666665,12.506033333333333,12.389902500000005,11.972129166666667,12.897233333333332,0.095529625,1.9894040847916667,0.7365087083333336,301.3941345957446,3.678804021276596,-2.2511652708333334,52.97895208333333,103.66337499999992,-4.876186666666666,343.8780625,294.2755,204.42872916666667,-9999,3.1860000000000004,79.78916666666666,101.66045833333334,13.384583333333335,0.0,0.095529625,3.623375,103.27711275258754,-2.216142848701026,-4.476837655358847,1.0
20180426,-1.535880229166667,42.923368333333336,104.37335416666667,-4.776661209302324,0.2926224791666667,-9999,214.44567000000006,-9999,3.438718312499999,76.76520833333333,101.58130620833334,12.688333333333338,0.0,-9999,-9999,-9999,12.164891666666666,11.853141666666666,11.643611666666667,10.688475,10.943370833333333,0.10899904166666667,1.8490835312500007,0.5173804999999999,281.21902470833334,5.018447874999999,-1.535880229166667,42.923368333333336,104.37335416666667,-4.517246499999999,322.9254583333333,300.79687499999983,214.44567000000006,-9999,3.4423958333333355,76.76520833333333,101.58133333333336,12.688333333333338,0.0,0.10899904166666667,5.018541666666667,104.37335416666667,-1.535880229166667,-4.4281081943990825,1.0
20180427,-1.5218656521739125,33.67124130434783,101.22906521739132,-3.1066791304347796,0.2413281666666667,-9999,201.60355625,-9999,4.694138437500002,72.34479166666667,101.8083270208333,14.620208333333332,0.0,-9999,-9999,-9999,14.71465208333334,14.605760416666667,14.468264791666668,14.375077083333334,14.982333333333333,0.11069583333333334,1.7509131522916663,0.3746257708333333,246.3709925416666,3.8431633749999987,-1.4524981249999993,32.612935416666666,98.44752083333334,-3.037715416666664,319.2296875,305.5571250000001,201.60355625,-9999,4.6991875,72.34479166666667,101.808375,14.620208333333332,0.0,0.11069583333333334,3.843229166666666,98.48450875517923,-1.4470396976401494,-3.0110559649826847,1.0
20180428,-1.5117790322580638,18.54828020833333,100.73465806451614,-1.915223047619048,0.23875466666666664,-9999,122.1488916666667,-9999,4.167628770833333,74.30875000000002,101.74220529166664,13.829583333333325,0.0,-9999,-9999,-9999,13.912635416666667,13.681527083333336,13.476250416666666,12.578481249999998,12.603695833333333,0.1205970416666667,1.6216907916666663,0.16201897916666666,238.92793175000008,3.9690106041666664,-1.2329964791666663,18.54828020833333,84.01577916666669,-1.9375368333333336,293.3569583333333,300.8697499999999,122.1488916666667,-9999,4.172104166666668,74.30875000000002,101.74225,13.829583333333325,0.0,0.1205970416666667,3.969,82.94137237277772,-1.2118039014667594,-1.7927856807697409,1.0
20180429,-1.606853375,29.642163749999995,107.22475,-1.5934815957446804,0.32544177083333337,-9999,201.5897395833334,-9999,3.561718270833332,77.23104166666666,101.73292652083336,13.530208333333334,0.0,-9999,-9999,-9999,13.49374375,13.351525000000002,13.176111041666667,12.762910416666662,12.642222916666661,0.12764583333333332,1.656593064583333,0.16628614583333334,272.4909440833333,5.792209145833336,-1.3186545416666662,29.642163749999995,93.49558333333331,-1.5831548958333332,273.0613125,314.8140625000001,201.5897395833334,-9999,3.5656041666666667,77.23104166666666,101.7329375,13.530208333333334,0.0,0.12764583333333332,5.792270833333334,92.27172189458321,-1.2617978780550754,-1.6113490172402083,1.0
20180430,-3.4353071428571433,35.621045531914895,204.57928571428573,-2.644189,0.2891603124999999,-9999,178.85949166666663,-9999,3.2491069999999986,78.29812500000001,101.50223752083332,12.702916666666667,0.0,-9999,-9999,-9999,12.0423375,11.81722291666667,11.684631875000004,11.058870833333332,11.236937499999998,0.11525879166666665,1.8387700170833328,0.2682615208333333,234.9184621875,4.8052561875,-1.3579903750000002,35.01083833333334,97.59783333333333,-2.1609008333333333,293.5365000000001,305.4897500000002,178.85949166666663,-9999,3.2525625,78.29812500000001,101.50227083333336,12.702916666666667,0.0,0.11525879166666665,4.80525,94.44067999467856,-1.4222940174175733,-2.2812883684241547,1.0
20180501,-2.8872726315789468,47.614910666666695,176.08389473684207,-6.6898341935483865,0.2404536041666667,-9999,212.28059166666668,-9999,3.6857723125000015,75.9739583333333,101.08572425,12.80729166666667,0.0,-9999,-9999,-9999,11.376504166666667,11.241620833333334,11.146576666666665,10.894627083333333,11.329566666666668,0.11319654166666665,2.285017107916667,0.7095198958333334,210.5406104375,4.0025764791666685,-1.5600302916666664,44.99476416666669,107.5615,-4.845492916666667,335.3850208333334,300.24556249999995,212.28059166666668,-9999,3.6895833333333337,75.9739583333333,101.08564583333332,12.80729166666667,0.0,0.11319654166666665,4.002583333333333,107.45494867332658,-1.642395741607558,-4.6159179951995775,1.0
